epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,845.12,1.19722,4.12574,1.60591,0.38325,0.09542,0.09083,0.05164,1.29315,4.38953,1.69866,0.000132346,0.000132346,0.000132346
2,1776.6,1.18996,3.60345,1.61851,0.37506,0.22846,0.22288,0.13291,1.44476,4.28417,1.87991,0.000252528,0.000252528,0.000252528
3,2686.94,1.23518,3.08993,1.64105,0.45016,0.26045,0.30662,0.1794,1.48171,3.47817,1.91023,0.00035951,0.00035951,0.00035951
4,3594.58,1.22527,2.72287,1.61326,0.58088,0.34896,0.38985,0.23178,1.40908,3.05365,1.78613,0.0003406,0.0003406,0.0003406
5,4583.42,1.18746,2.44215,1.55632,0.59332,0.43559,0.4883,0.30823,1.34418,2.69687,1.75423,0.0003208,0.0003208,0.0003208
6,5639.97,1.14097,2.22255,1.52827,0.55144,0.48795,0.52213,0.34548,1.30036,2.5356,1.65705,0.000301,0.000301,0.000301
7,6708.05,1.13085,2.05472,1.51017,0.55426,0.60269,0.59505,0.39119,1.33378,2.29611,1.68238,0.0002812,0.0002812,0.0002812
8,7755.52,1.08154,1.90735,1.48154,0.64418,0.61186,0.65363,0.43854,1.32221,2.08833,1.69103,0.0002614,0.0002614,0.0002614
9,8708.06,1.04944,1.74447,1.44199,0.66633,0.58858,0.66639,0.4599,1.23578,1.99335,1.58685,0.0002416,0.0002416,0.0002416
10,9735.26,1.0268,1.61944,1.42831,0.71094,0.58177,0.66031,0.46352,1.22344,1.94146,1.57535,0.0002218,0.0002218,0.0002218
11,10762.9,0.97277,1.58829,1.49387,0.72669,0.63729,0.70064,0.48513,1.24208,1.97232,1.61357,0.000202,0.000202,0.000202
12,11777.6,0.92669,1.38205,1.43945,0.67922,0.6837,0.73575,0.50818,1.21746,1.72152,1.54538,0.0001822,0.0001822,0.0001822
13,12809.7,0.8781,1.25467,1.40341,0.75524,0.67221,0.72934,0.50873,1.21011,1.75112,1.56163,0.0001624,0.0001624,0.0001624
14,13859.5,0.85222,1.14866,1.37886,0.75387,0.67436,0.7385,0.52902,1.16078,1.62048,1.51136,0.0001426,0.0001426,0.0001426
15,14938.4,0.8268,1.07747,1.35936,0.75407,0.69096,0.76286,0.54619,1.13944,1.50934,1.4578,0.0001228,0.0001228,0.0001228
16,15962.2,0.78721,1.01642,1.31172,0.76233,0.72822,0.77284,0.5651,1.12195,1.50208,1.47011,0.000103,0.000103,0.000103
17,16958.3,0.78343,0.992,1.32009,0.74958,0.74086,0.7531,0.54565,1.13273,1.5,1.49078,8.32e-05,8.32e-05,8.32e-05
18,17981.1,0.73919,0.92388,1.27214,0.79558,0.72062,0.77563,0.55862,1.11912,1.41819,1.47592,6.34e-05,6.34e-05,6.34e-05
19,19025.3,0.71085,0.89231,1.25189,0.77028,0.71734,0.76931,0.55874,1.12339,1.44354,1.48131,4.36e-05,4.36e-05,4.36e-05
20,20056.6,0.69368,0.85912,1.226,0.74983,0.73317,0.77675,0.56415,1.12413,1.4289,1.47872,2.38e-05,2.38e-05,2.38e-05
